date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-08-21,6770,13533401,214467099,15.5,16.0,15.5,15.9,0.45,4309
2025-08-22,6770,8199786,128712348,15.9,15.95,15.6,15.7,-0.2,3099
2025-08-25,6770,14110976,225463484,15.95,16.2,15.8,15.8,0.1,5562
2025-08-26,6770,8063411,127504205,15.75,15.9,15.7,15.8,0.0,2569
2025-08-27,6770,12712227,203232987,15.95,16.15,15.8,15.85,0.05,4102
2025-08-28,6770,11201897,179359397,15.95,16.1,15.85,16.05,0.2,3809
2025-08-29,6770,16472548,265705445,16.15,16.5,15.9,15.9,-0.15,5054
2025-09-01,6770,8642048,136430470,15.9,15.95,15.65,15.75,-0.15,2992
2025-09-02,6770,10566333,165196337,15.85,16.05,15.35,15.4,-0.35,4934
2025-09-03,6770,9065626,140405464,15.45,15.7,15.3,15.35,-0.05,3908
2025-09-04,6770,10902508,171413753,15.5,15.9,15.45,15.7,0.35,3437
2025-09-05,6770,18322440,293898337,15.8,16.2,15.75,16.05,0.35,5788
2025-09-08,6770,50800717,843014532,16.25,16.95,16.25,16.55,0.5,15246
2025-09-09,6770,15531911,255547477,16.55,16.7,16.25,16.5,-0.05,5240
2025-09-10,6770,24495267,407969114,16.65,16.9,16.3,16.7,0.2,8111
2025-09-11,6770,46594823,794208685,16.8,17.4,16.6,17.2,0.5,14669
2025-09-12,6770,201622206,3723590616,17.5,18.9,17.45,17.95,0.75,56535
2025-09-15,6770,54123964,970312075,18.1,18.25,17.6,17.85,-0.1,16961
2025-09-16,6770,75708624,1396504930,17.85,18.9,17.6,18.55,0.7,24492
2025-09-17,6770,163960094,3267932783,18.6,20.4,18.6,20.4,1.85,48229
2025-09-18,6770,325493680,7110942517,21.25,22.4,20.95,22.4,2.0,96659
2025-09-19,6770,314213408,7126598975,22.8,23.15,22.0,22.1,-0.3,93163
2025-09-22,6770,137319084,2978817692,22.05,22.6,21.15,21.35,-0.75,44923
2025-09-23,6770,259556236,5992042796,21.65,23.45,21.65,23.45,2.1,64792
2025-09-24,6770,362241550,8609271992,23.7,24.7,22.9,23.85,0.4,108281
2025-09-25,6770,122208828,2855001573,23.0,24.0,22.95,23.1,-0.75,43165
2025-09-26,6770,121113225,2776759535,22.75,23.5,22.2,23.1,0.0,39549
2025-09-30,6770,152664035,3870641056,25.35,25.4,24.95,25.4,2.3,35357
2025-10-01,6770,404766975,11027525704,25.4,27.9,25.2,27.9,2.5,96074
2025-10-02,6770,439718290,12570821297,30.1,30.1,27.4,27.7,-0.2,143603
2025-10-03,6770,253574999,6968542109,27.5,28.4,26.85,27.2,-0.5,88046
2025-10-07,6770,366193981,10772212292,27.8,29.9,27.65,29.9,2.7,104523
2025-10-08,6770,384462583,11448538009,29.1,31.35,28.55,31.0,1.1,128320
2025-10-09,6770,329804510,10197918925,31.5,32.0,30.2,30.3,-0.7,119020
2025-10-13,6770,205759888,5897739666,27.55,29.3,27.45,29.25,-1.05,70591
2025-10-14,6770,294354305,8467231829,30.6,31.0,27.3,27.3,-1.95,102496
2025-10-15,6770,138777196,3867298262,28.35,28.45,27.4,27.8,0.5,52512
2025-10-16,6770,292728145,8611277025,28.5,30.25,28.45,28.8,1.0,94120
2025-10-17,6770,250893662,7460100425,28.5,30.75,28.3,29.5,0.7,94081
2025-10-20,6770,246606181,7461470661,30.5,31.3,29.45,30.3,0.8,95087
2025-10-21,6770,182443230,5475015752,30.45,30.75,29.45,30.7,0.4,71792
2025-10-22,6770,277459776,7931943539,28.5,29.2,28.0,28.0,-2.7,108216
2025-10-23,6770,186811585,5287430397,27.4,28.9,27.35,28.65,0.65,64504
2025-10-27,6770,347845869,10843383105,30.5,31.5,30.5,31.5,2.85,111582
2025-10-28,6770,588996015,19074418428,32.15,33.6,31.5,31.95,0.45,215153
2025-10-29,6770,388352347,12412659768,32.0,33.4,30.55,32.25,0.3,133763
2025-10-30,6770,407145447,13568371451,32.9,34.1,32.4,33.05,0.8,150176
